companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
624,EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,6.03,20.66,1.4,5.19,0.43,7.32,32.0,5.4,1.36,0.28,2.15,-0.97,1.54,6.78,2.09,14.33,0.58,2.13,0.31,0.69,1.57,1.19,14.51,34898168.1,4.3,0.29,3995919154.8,77,7,36,Comércio e Distribuição,Medicamentos e Outros Produtos,Saúde,8.47,
342,BCO PINE S.A.,PINE3,12.15,9.55,2.26,9.45,0.1,9.73,20.37,5.51,5.44,0.52,-1.42,-0.1,0.19,23.67,1.01,,,,0.04,0.96,0.11,0.05,25.71,29936.48,5.37,1.27,2909250289.05,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,5.29,
342,BCO PINE S.A.,PINE4,12.9,10.14,2.4,10.03,0.1,9.73,20.37,5.51,5.44,0.55,-1.5,-0.1,0.19,23.67,1.01,,,,0.04,0.96,0.11,0.06,25.71,4117385.57,5.37,1.27,2909250289.05,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,4.98,
214,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,PLAS3,4.99,-0.35,-0.09,-2.51,0.1,-13.72,11.92,-2.11,-15.06,0.05,-0.14,-0.15,1.85,-26.14,-27.89,12.67,,-11.21,-1.07,2.07,0.32,-0.01,22.66,1603.3,-54.21,-14.17,62002835.82,19,2,7,Automóveis e Motocicletas,Automóveis e Motocicletas,Consumo Cíclico,,
629,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,13.97,9.01,2.88,6.17,0.74,6.33,32.41,16.04,10.98,0.99,1.18,-5.48,0.75,31.96,8.26,18.07,0.08,0.16,0.26,0.72,3.7,-1.33,29.22,19771952.76,4.85,1.55,2848496970.0,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,7.2,25.34
391,PARANAPANEMA S.A.,PMAM3,0.78,-0.06,-0.01,-0.23,0.06,-13.19,-30.88,-74.88,-283.89,0.17,-0.02,-0.08,0.35,-23.04,-98.35,29.61,,-12.96,-4.27,5.27,0.05,0.02,-38.5,1435008.52,-55.24,-12.73,94022444.88,72,5,34,Siderurgia e Metalurgia,Artefatos de Cobre,Materiais Básicos,,
416,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,PNVL3,11.72,15.62,1.39,7.45,0.49,11.73,32.22,4.47,2.13,0.33,1.73,-1.23,1.48,8.93,3.15,7.43,0.8,4.28,0.35,0.65,1.91,1.74,12.65,8412069.62,8.41,0.75,1762424077.32,77,7,36,Comércio e Distribuição,Medicamentos e Outros Produtos,Saúde,1.69,8.01
416,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,PNVL4,18.62,24.82,2.21,11.84,0.78,11.73,32.22,4.47,2.13,0.53,2.74,-1.95,1.48,8.93,3.15,7.43,0.8,4.28,0.35,0.65,1.91,2.77,12.65,,8.41,0.75,1762424077.32,77,7,36,Comércio e Distribuição,Medicamentos e Outros Produtos,Saúde,,8.01
192,MARCOPOLO S.A.,POMO3,5.67,5.89,1.64,5.13,0.72,6.24,25.19,15.1,13.14,0.77,2.47,-1.89,0.94,27.78,12.3,12.81,0.29,0.92,0.44,0.55,1.91,1.55,14.78,8290809.86,3.46,0.96,7366558496.36,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,22.22,42.97
192,MARCOPOLO S.A.,POMO4,6.02,6.25,1.74,5.44,0.77,6.24,25.19,15.1,13.14,0.82,2.62,-2.0,0.94,27.78,12.3,12.81,0.29,0.92,0.44,0.55,1.91,1.64,14.78,101254849.9,3.46,0.96,7366558496.36,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,20.93,42.97
